,Title,Author,Goodreads Rating,Description
1845,Dead+Aim,Iris Johansen,4.03,"She witnesses death through the eye of her camera...now a relentless killer is focused on her. A celebrated photojournalist, Alex Graham has recorded some of the most tragic and heartbreaking of stories, but her latest assignment has forced her across a dangerous line. At a dam collapse in Arapahoe Junction, Colorado, Alex witnesses a conspiracy that will shock a nation. For the collapse of the Arapahoe Dam was not an accident. The official story is just a cover-up for a truth so frightening, so unthinkable, anyone who threatens to reveal it must be silenced. Forever. Hr only ally is an ex-convert commando with a checkered past, a price on his head, and a deadly assassin at his heels. What happens when a reporter does more than just report? What happens when she becomes involved in the story? She ends up marked for death by an enemy who never misses, by those who've already got her centred...dead aim."
1847,Memories+of+Another+Day,Harold Robbins,3.67,"In the mountains of West Virginia Dan learned the price of work, love, and murder--when murder was a man's last resort. Daniel Boone Huggins, shaped by violent tragedy and a restless passion for beautiful women, rose from poverty to become the most powerful--and dangerous--labor organizer in America."
1848,A+Rogue+in+Texas,Lorraine Heath,3.86,"A duke's son, Grayson Rhodes was a maverick who had left London's suffocating upper class world to earn his own fortune. So he seized the chance to work Abbie Westland's land...and from the moment he first saw Abbie, he was determined to use his arms to work the farm by day and to soothe her through the nights in his strong embrace.Abbie, with her fiery determination, was different from the fragile beauties he'd known at home. In her, Grayson found an honest passion he'd never experienced before. But could their growing love survive the surprising reminder of her past that came to haunt them?"
1849,Lovestruck,Stephanie Bond,3.77,"Lizzie Medina went to London to reinvent herself. Tired of being the quiet baby sister, and in no hurry to settle into a boring existence in surburbia, she escapes from home at the first opportunity. When she settles in London for a year of post-graduate studies, Lizzie is sure she’ll be able to start a whole new life. Immerse herself in the books she loves. Explore a new country. Work on her dream of writing a novel. She might even be able to find a little bit of excitement for once.But falling unexpectedly in love with up-and-coming actor Thomas Harper causes Lizzie to re-think… everything. Just as she’s convinced herself this small-town girl from the Midwest can handle this great adventure, Thomas’s career suddenly explodes to superstar levels, and Lizzie finds herself forced to navigate the fame game of red carpets, catty co-stars, gossip magazines, and paparazzi. When she wished for a new life, she had no idea it would be anything like this!Lizzie must now determine if her love—and her confidence—are strong enough to get her through the complications of dating a movie star. Even if she and Thomas are able to pull through before she has to leave London, how will she deal with the inevitability of returning to a life at home that no longer feels like her own? Will she follow her family’s wishes or follow her heart? Will the Lizzie she discovered in London be strong enough to help her pursue her dreams?"
1850,To+Die+For,Linda Howard,4.33,"Als Katniss erfährt, dass ihre kleine Schwester für die Spiele von Panem ausgelost worden ist, meldet sie sich freiwillig – wohl wissend, dass sie damit ihr Todesurteil unterschreibt. Denn es darf nur einer überleben bei diesem grausamen Ritual in der fernen Zukunft Nordamerikas. Noch weiß sie nicht, dass sie Peeta, einem Jungen aus ihrem Distrikt, gegenüber stehen wird. Wird einer den anderen töten, um selbst zu überleben? Da geschieht das Wunder: Peeta scheint ihr Leben retten zu wollen …"
1851,A+Fine+Passion,Stephanie Laurens,4.06,"The men of the Bastion Club are powerful, loyal, and not averse to overcoming danger if they must. Now, after years of loyal service to the Crown, they each -- one by one -- must face that greatest danger of all ...love.The last of his line, Jack, Baron Warnefleet, has fled London after nearly being compromised into marrying a dreadful female. Turning his back on the entire notion of marriage, he rides home to the estate he has not seen for years, determined to set in motion an alternative course of action.But then in the lane before his gate, Jack rescues a startlingly beautiful lady from a menacing, unmanageable horse. However, while he begins by taking command, the lady continues by taking it back. Lady Clarice Altwood is no meek and mild miss. She is the very antithesis of thewoolly-headed young ladies Jack has rejected as not for him. Clarice is delectably attractive, beyond eligible, undeniably capable, and completely unforgettable. Why on earth is she rusticating in the country?That enigma is compounded by mystery, and it's quickly clear thatClarice is in danger. Jack must use every ounce of his cunning and wit to protect this highly independent and richly passionate woman ... who has so quickly stolen his heart."
1852,Valley+of+Silence,Nora Roberts,4.22,"The battleground has been chosen for the final showdown between those selected by the gods and the minions of the vampire Lilith. But there is one vampire who dares stand against her. And his love for the scholarly queen of Geall will complete the circle of six - and change the face of eternity.Having traveled through the Dance of the Gods to the land of Geall, the circle finds themselves convincing then training the people of Geall to defeat Lilith’s vampire army. The Valley of Silence is a forbidding place for the battle of all battles, but the circle continues to prepare through magic and a few early stakeouts that test their strength individually and as a team.Moira finds herself playing the roles of warrior and royal, as she follows the tradition of her people and prepares to take the crown before leading them into battle. And if that isn’t enough, she finds her thoughts turning to Cian more often than not.So what’s a chaste and intelligent young woman to do when given less than a month with the man she loves, who’s not a man, but a vampire? And how will the people of Geall fare against an army of blood-thirsty vampires who have had centuries to prepare?"
1853,The+Stanislaski+Brothers+-+Mikhail+and+Alex,Nora Roberts,4.06,"Roberts delivers a special collection with two complete novels about the tempestuous and tantalizing Stanislaski brothers. Mikhail's rare talents attract a wealthy and classy beauty in Luring a Lady. In Convincing Alex, Alex mistakenly arrests a headstrong woman who decides the sexy detective is perfect for her research on cops. Satellite media tour."
1854,Tears+of+the+Moon,Nora Roberts,4.19,"A talented songwriter, Shawn Gallagher spends his days lost in reverie and wonder, oblivious to the wiles of women and the ways of the world. He claims that he's content with his life, but his music tells a different story—one of loneliness and desperate longing…No one understands why Shawn doesn't put his musical gift to profitable use—least of all Brenna O'Toole, a fiercely independent tomboy who has been secretly in love with him for years. But it is only when Shawn gives in to the mysteries of magic that he gets the chance to fulfill his destiny as a man and a musician—as the song in his head keeps time with the beating of a woman's heart…"
1855,Jewels+of+the+Sun,Nora Roberts,4.22,"In her new trilogy, New York Times #1 Best Selling author, Nora Roberts returns to the lush, green hills of Ireland, where love is forever touched by magic - And where the Gallagher siblings explore the depth of their fiery hearts. Determining to reevaluate her life, Jude Murray flees America to take refugee in Faerie Hill Cottage, immersing herself in the study of Irish Folk and discovers hope for the future of the magical past.Finally back home in Ireland after years of traveling, Aidan Gallagher possesses an uncommon understanding of his country's haunting myths. Although he's devoted to managing the family pub, a hint of wildness still glints in his stormy eyes--and in Jude, he sees a woman who can both soothe his heart and stir his blood. And he begins to share the legends of the land with her--while they create a passionate history of their own..."
1856,Stars,Nora Roberts,4.24,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love."
1857,Key+of+Knowledge,Nora Roberts,4.11,"You are the Key. The lock awaits.What happens when the very gods depend on mortals for help? That's what three very different young women find out when they are invited to Warrior's Peak.To librarian Dana Steele, books and the knowledge they hold are the key to contentment. But now that search for knowledge must include the second key needed to release three souls held captive by an evil god. In each generation three are chosen who have the power to release them - if they dare accept a challenge that could promise them great riches but also grave danger... And now it is Dana's turn.She won't be alone, for she's formed fast friendships with two very different women. But she can't allow herself to be distracted by the return of the man who broke her heart so long ago, for a danger beyond anyone's imagination is determined to keep her from completing her quest."
1858,Face+the+Fire,Nora Roberts,4.15,"The conclusion of the Three Sisters Island trilogy. The new owner of the island's only hotel, Sam has returned to Three Sisters with hopes of winning back Mia's affections. But Mia needs his help to face her greatest challenge, and the deadline for breaking a centuries-old curse draws near."
1859,Skin+Deep,Nora Roberts,3.99,"Oh, who was she kidding? Emma knew that going to the tattoo shop with her best friend, Allie, would result in getting badgered until she ended up with some sort of needle piercing her flesh in one way or another. What she didn’t plan on was ending up face-first on the floor of the shop with a busted lip. Or doing it in front of the hottest guy she’d seen since…well, ever.Mortified, Emma never thought she’d ever step foot back in Skin Deep again. But fate, with a little help from Emma’s flighty best friend and a chance encounter with a fudge bar, steps in. Now Emma’s torn between taking a chance on getting her heart broken by the enigmatic, gorgeous Lucas, and playing it safe with good ol’ trusty B.O.B. Lucas lets Emma know that he gets what he wants, and what he wants is her. When Emma gives in and quits pushing him away, she’s surprised at how quickly the walls around her heart crumble. She’s even more surprised that her unconventional, zany family just endears her even more to him.But no one knows there’s someone that wants her more, and they’ll stop at nothing to get her.Recommended for readers 18+ due to HOT sexual encounters, adult situations, and language."
1860,Morrigan's+Cross,Nora Roberts,4.14,"Number-one New York Times bestselling author Nora Roberts delivers an extraordinary new trilogy—an epic tale that breaks down the boundaries between reality and the otherworldly, while forging together the passions of the men and women caught in a battle for the fate of humanity ...In the last days of high summer, with lightning striking blue in a black sky, the sorcerer stood on a high cliff overlooking the raging sea...Belting out his grief into the storm, Hoyt Mac Cionaoith rails against the evil that has torn his twin brother from their family's embrace. Her name is Lilith. Existing for over a thousand years, she has lured countless men to an immortal doom with her soul-stealing kiss. But now, this woman known as vampire will stop at nothing until she rules this world—and those beyond it...Hoyt is no match for the dark siren. But his powers come from the goddess Morrigan, and it is through her that he will get his chance at vengeance. At Morrigan's charge, he must gather five others to form a ring of power strong enough to overcome Lilith. A circle of six: himself, the witch, the warrior, the scholar, the one of many forms and the one he's lost. And it is in this circle, hundreds of years in the future, where Hoyt will learn how strong his spirit—and his heart—have become...Note: This edition includes a ""Glossary of Irish Words, Characters and Places"" immediately after the story concludes."
1861,Red+Lily,Nora Roberts,4.07,"Three women learn that the heart of their historic home holds a mystery of years gone by, as number-one bestselling author Nora Roberts brings her In the Garden trilogy to a captivating conclusion, following Blue Dahlia and Black Rose. A Harper has always lived at Harper House, the centuries-old mansion just outside of Memphis. And for as long as anyone alive remembers, the ghostly Harper Bride has walked the halls, singing lullabies at night... Hayley Phillips came to Memphis hoping for a new start, for herself and her unborn child. She wasn't looking for a handout from her distant cousin Roz, just a job at her thriving In the Garden nursery. What she found was a home surrounded by beauty and the best friends she's ever had-including Roz's son Harper. To Hayley's delight, her new daughter Lily has really taken to him. To Hayley's chagrin, she has begun to dream about Harper-as much more than a friend... If Hayley gives in to her desire, she's afraid the foundation she's built with Harper will come tumbling down. Especially since she's begun to suspect that her feelings are no longer completely her own. Flashes of the past and erratic behavior make Hayley believe that the Harper Bride has found a way inside of her mind and body. It's time to put the Bride to rest once and for all, so Hayley can know her own heart again-and whether she's willing to risk it..."
1862,Blue+Dahlia,Nora Roberts,4.12,"Recently widowed Stella Rothschild has found a new love in Logan Kitridge. But there is someone who isn't happy about Stella's growing feelings for Logan: the Harper Bride, an unidentified woman whose grief and rage have kept her spirit alive long past the death of her body."
1863,Blood+Brothers,Nora Roberts,4.16,"In the town of Hawkins Hollow, it’s called The Seven. Every seven years, on the seventh day of the seventh month, strange things happen. It began when three young boys—Caleb, Fox, and Gage—went on a camping trip to The Pagan Stone...It is only February, but Caleb Hawkins—descendant of the town founders—has already seen and felt the stirrings of evil. Though he can never forget the beginning of the terror in the woods twenty-one years ago, the signs have never been this strong before. Cal will need the help of his best friends Fox and Gage, but surprisingly he must rely on a stranger as well.Reporter Quinn Black came to Hawkins Hollow hoping to make its eerie happenings the subject of her new book. She too can see the evil the locals cannot, somehow connecting her to the town—and to Cal. As winter turns to spring, they will shed their inhibitions, surrendering to a desire that will grow and form the cornerstone of a group of men and women bound by the fight against what is to come from out of the darkness…"
1864,The+Hollow,Nora Roberts,3.75,"A love like no other...When Abbey's best friend, Kristen, vanishes at the bridge near Sleepy Hollow Cemetery, everyone else is all too quick to accept that Kristen is dead...and rumors fly that her death was no accident. Abbey goes through the motions of mourning her best friend, but privately, she refuses to believe that Kristen is really gone. Then she meets Caspian, the gorgeous and mysterious boy who shows up out of nowhere at Kristen's funeral and keeps reappearing in Abbey's life. Caspian clearly has secrets of his own, but he's the only person who makes Abbey feel normal again...but also special.Just when Abbey starts to feel that she might survive all this, she learns a secret that makes her question everything she thought she knew about her best friend. How could Kristen have kept silent about so much? And could this secret have led to her death? As Abbey struggles to understand Kristen's betrayal, she uncovers a frightening truth that nearly unravels her - one that will challenge her emerging love for Caspian, as well as her own sanity."
1865,Northern+Lights,Nora Roberts,3.99,"Let #1 New York Times bestselling author Nora Roberts fly you into Lunacy, Alaska, and into a colorful, compelling novel about two lonely souls who are searching for love and redemption...As a Baltimore cop, Nate Burke watched his partner die on the street—and the guilt still haunts him. With nowhere else to go, he accepted the job as Chief of Police in a tiny, remote Alaskan town with the hopes of starting over. Despite the name, Lunacy provides a balm for Nate's shattered soul—and an unexpected affair with pilot Meg Galloway warms his nights...But other things in Lunacy are heating up. Nate suspects the killer in an unsolved murder still walks the snowy streets. His investigation will unearth the secrets and suspicions that lurk beneath the placid surface, as well as bring out the big-city survival instincts that made him a cop in the first place. And his discovery will threaten the new life—and the new love—that he has finally found for himself."
1866,Homeport,Nora Roberts,3.87,"After an assault at her family home in Maine, Dr. Miranda Jones is determined to put the experience behind her. Distraction comes when she is summoned to Italy—to verify the authenticity of a Renaissance bronze of a Medici courtesan known as The Dark Lady.But instead of cementing Miranda’s reputation as the leading expert in the field, the job nearly destroys it when her professional judgment is called into question. Emotionally estranged from her mother, with a brother immersed in his own troubles, Miranda has no one to turn to...except Ryan Boldari, a seductive art thief whose own agenda forces them into a reluctant alliance.Now it becomes clear that the incident in Maine was not a simple mugging—and that The Dark Lady may possess as many secrets as its beautiful namesake once did. For Miranda, forced to rely on herself—and a partner who offers her both unnerving suspicion and intoxicating passion—the only way home is filled with deception, treachery, and a danger that threatens them all."
1867,Black+Rose,Nora Roberts,4.05,"A Harper has always lived at Harper House, the centuries-old mansion just outside of Memphis. And for as long as anyone alive remembers, the ghostly Harper Bride has walked the halls, singing lullabies at night...At forty-seven, Rosalind Harper is a woman whose experiences have made her strong enough to bend without breaking--and weather any storm. A widow with three grown sons, she survived a disastrous second marriage and built her In The Garden nursery from the ground up. Through the years, In The Garden has become more than just a thriving business--it is a symbol of hope and independence to Roz, and to the two women she shares it with. Newlywed Stella and new mother Hayley are the sisters of her heart, and together the three of them are the future of In The Garden.But now the future is under attack, and Roz knows they can't fight this battle alone. Hired to investigate Roz's Harper ancestors, Dr. Mitchell Carnegie finds himself just as intrigued with Roz herself. And as they being to unravel the puzzle of the Harper Bride's identity, Roz is shocked to find herself falling for the fascinating genealogist. Now it is a desperate race to discover the truth before the unpredictable apparition lashes out at the one woman who can help her rest in peace..."
1868,The+MacGregor+Brides,Nora Roberts,4.08,"The MacGregor clan's patriarch is powerful, rich--and determined to see his three career-minded granddaughters married. So he hand-picked three unsuspecting candidates as worthy consorts...Now all he has to do is set his plans in motion."
1869,Sea+Swept,Nora Roberts,4.24,"A champion boat racer, Cameron Quinn traveled the world spending his winnings on champagne and women. But when his dying father called him home to care for Seth, a troubled young boy not unlike Cameron once was, his life changed overnight...After years of independence, Cameron had to learn to live with his brothers again, while he struggled with cooking, cleaning, and caring for a difficult boy. Old rivalries and new resentments flared between Cameron and his brothers, but they tried to put aside their differences for Seth's sake. In the end, a social worker would decide Seth's fate, and as tough as she was beautiful, she had the power to bring the Quinns together--or tear them apart..."
1870,Blue+Dahlia,Nora Roberts,4.12,"Recently widowed Stella Rothschild has found a new love in Logan Kitridge. But there is someone who isn't happy about Stella's growing feelings for Logan: the Harper Bride, an unidentified woman whose grief and rage have kept her spirit alive long past the death of her body."
1871,Dance+of+the+Gods,Nora Roberts,4.14,"Combining elements of the supernatural with gripping suspense and seduction, #1 New York Times bestselling author Nora Roberts presents the second novel in her Circle Trilogy… He saw where the earth was scorched, where it was trampled. He saw his own hoofprints left in the sodden earth when he’d galloped through the battle in the form of a horse. And he saw the woman who’d ridden him, slashing destruction with a flaming sword…     Blair Murphy has always worked alone. Destined to be a demon hunter in a world that doesn’t believe in such things, she lives for the kill. But now, she finds herself the warrior in a circle of six, chosen by the goddess Morrigan to defeat the vampire Lilith and her minions.    Learning to trust the others has been hard, for Blair has never allowed herself such a luxury. But she finds herself drawn to Larkin, a man of many shapes. As a horse, he is proud and graceful; as a dragon, beautifully fierce; and as a man…well, Blair has never seen one quite so ruggedly handsome and playfully charming as this nobleman from the past.   In two months’ time, the circle of six will face Lilith and her army in Geall. To complete preparations and round up forces to fight, the circle travels through time to Larkin’s world, where Blair must choose between battling her overwhelming attraction to him—or risking everything for a love that can never be…"
1872,Heaven+and+Earth,Nora Roberts,4.14,"Ripley Todd just wants to live a quiet, peaceful kind of life. Her job as a sheriff's deputy keeps her busy and happy, and she has no trouble finding men when she wants them - which, lately, isn't all that often. She's perfectly content, except for one thing: she has special powers that both frighten and confuse her, and though she tries hard to hide them, she can't get them under control. Distraction soon arrives in the handsome form of Mac Allister Booke - a researcher who's come to investigate the rumours of witchcraft that haunt Three Sisters Island. Right from the start, he knows there's something extraordinary about Ripley Todd. It's not just her blazing green eyes and her sultry smile. There's something else. Something he can detect, but she'll never admit. Fascinated by her struggle with her amazing abilities, he becomes determined to help her accept who she is - and find the courage to open her heart. But before Ripley and Mac can dream of what lies in the future, they must confront the pain of the past. For the island shelters centuries of secrets - and a legacy of danger that plagues them still."
1873,The+Stanislaski+Sisters+-+Natasha+and+Rachel,Nora Roberts,4.05,"Though they were raised in the Old World traditions of their loving immigrant family, tempestuous Natasha and cool, classy Rachel are ready for a new world of love.... Stormy Natasha's wild, fiery beauty captivates Spencer Kimball. But will the handsome single dad prove the one man capable of breaching her well-fortified heart and Taming Natasha?When rugged Zack Muldoon needs a tough, no-nonsense lawyer, Rachel's not what he has in mind till he discovers there's more to this long-legged beauty than meets the eye.and finds himself Falling for Rachel."
1874,The+MacGregor+Grooms,Nora Roberts,4.1,"It worked with his granddaughters. Now Daniel MacGregor, powerful patriarch of the MacGregor clan, wants to see his three handsome, eligible—but stubbornly single—grandsons married. So he's found just the women to tempt, tease and torture D.C., Duncan and Ian all the way to the altar. And you can bet Daniel will be sitting by with his feet up, a glass of whiskey in hand, smugly watching his plans unfold . . ."
1875,Key+of+Light,Nora Roberts,4.17,"The pleasure of your company is desired for cocktails and conversation. 8 pm, 4th September. Warrior's Peak.When Malory Price is issued with the above invitation she is naturally suspicious, especially as Warrior's Peak is a local mansion straight out of a Hollywood movie. But with her overdraft at crisis limit and on the verge of losing her job at a local art gallery, she has little to lose by attending the event.Only Malory is about to get more than she bargained for. At Warrior's Peak she finds that she and two other women are the only guests of their mysterious hosts. They are told an amazing story of magic, gods and goddesses; and of three demi-goddesses who have been cast into an eternal sleep, their mortal souls placed under lock and key. And in every generation, three women are born who alone have the power to free them - if they are prepared to accept the challenge.Three women. Three keys to find. If one fails, they all lose. If they succeed - money, power and a new destiny awaits. It will take more than intellect, more than determination. They will have to open their hearts, their minds, and believe that everything is possible."
1876,Dangerous,Nora Roberts,3.82,"From the world of Beautiful Creatures-a dangerous new tale of love and magic.Ridley Duchannes is nobody's heroine. She's a Dark Caster, a Siren. She can make you do things. Anything. You can't trust her, or yourself when she's around. And she'll be the first to tell you to stay away-especially if you're going to do something as stupid as fall in love with her. Lucky for Ridley, her wannabe rocker boyfriend, Wesley ""Link"" Lincoln, never listens to anyone. Link doesn't care if Rid's no good for him, and he takes her along when he leaves small-town Gatlin to follow his rock-star dream. He teams up with a ragtag group of Dark Casters, and when the band scores a gig at a hot Underground club, it looks like all of Link's dreams are about to come true. But New York City is a dangerous place for both Casters and Mortals, and soon Ridley realizes that Link's bandmates are keeping secrets. With bad-boy club owner Lennox Gates on her heels, Rid is determined to find out the truth. What she discovers is worse than she could have imagined: Link has a price on his head that no Caster or Mortal can ever pay. With their lives on the line, what's a Siren to do? Kami Garcia and Margaret Stohl, the #1 New York Times bestselling coauthors of the Beautiful Creatures novels, are back to cast another magical spell. Their signature blend of mystery, suspense, and romance, with a healthy dose of wit and danger, will pull fans in and leave them begging for more."
1877,Divine+Evil,Nora Roberts,3.84,"A decade ago, sculptor Clare Kimball fled Emmitsboro, Maryland, to take the art world by storm. Now she’s celebrated as the artist of her generation. But no amount of success can eclipse the nightmares that haunt her—or the memories of her father’s suicide. Just as her star is shining brighter than ever, Clare leaves it all behind to face her demons.Emmitsboro sheriff Cameron Rafferty loved Clare from afar all through high school. Now that she’s back, they form a bond that grows stronger each day—fueled by an attraction that’s been simmering for years. But Clare’s past soon rises up with a vengeance, rocking the town with a sinister murder that is clearly linked to her return. As an investigation gets under way, Clare and Cameron will learn that evil can linger anywhere—even in those you love and trust the most. But it’s a discovery that may come too late to save them.…"
1878,Key+of+Valor,Nora Roberts,4.11,"What happens when the very gods depend on mortals for help?That's what three very different young women find out when they are invited to Warrior's Peak.Light and knowledge have succeeded in their quest, and two of the keys have been found. Both Malory and Dana had taken their turns. The final, and last, test goes to Zoe McCourt - valor.Now it was her burden, her risk. Her chance. She had to be brave enough, smart enough, strong enough, or everything they'd done before her would be for nothing.Zoe has the courage to raise her young son alone, and to face all the adversity life has thrown at them. But will she have the courage to face a foe determined to do anything to stop the third key from being found - even destroying everything - and everyone - she loves?"
1879,Toxic+Bachelors,Danielle Steel,3.67,"Danielle Steel explores the perils of dating, relationships, and love in a novel that takes us into the intoxicating, infuriating world of three charming single men, also known as...Toxic BachelorsThey were the best of friends and the most daunting of bachelors....Charlie Harrington, a handsome philanthropist, has such high expectations for his perfect bride that no mortal need apply....Adam Weiss, a forty-something celebrity lawyer, prefers his women very young, very voluptuous, and very short-term....And for Gray Hawk, a gifted artist with a knack for attracting troubled relationships, women are fine; it's just the idea of family he can't imagine (particularly the family of the woman he's dating).Now the three friends, spending their annual summer vacation cruising the Mediterranean aboard Charlie's majestic yacht, are about to have their bachelorhood rocked. By autumn all three will fall precipitously into relationships they never saw coming. Charlie begins dating a crusading social worker who couldn't be further from his ideal--until he makes a stunning discovery about her. Adam gets involved with his usual twenty-something bombshell--only this one has a remarkable mind of her own. And Gray, who has avoided both business and family like the plague, has managed to fall head over heels for a successful career woman--who just happens to be a mother as well.As another holiday on the yacht approaches, and with it a turning point in each man's life, the three bachelors are forced to face the things that scare them most: their phobias about relationships, the wounds of the past--and the kind of women who challenge their deepest terrors. What happens next will spark big changes for Charlie, Adam, and Gray--and might just put an end to their carousing days forever. For as the once-carefree trio is about to discover, love is the most unpredictable adventure of all.Filled with all the joy, complexity, and unexpected surprises of life, Toxic Bachelors is Danielle Steel at her poignant and penetrating best."
1880,Once+in+a+Lifetime,Danielle Steel,3.89,"Millions adored Daphne Fields, for she shared their passion, their pain, their joy, and their sorrow. But America's most popular novelist remained a closed book to the world — guarding her life with a fierce privacy no reporter could crack.  Her life hides a myriad of secrets. The husband and daughter she lost in a fire. The son who barely survived it and would be deaf forever. The victories, the defeats, the challenges of facing life as a woman alone and helping her son meet the challenges of his handicap. A strong woman, she would not accept defeat, or help from anyone... until she found she could no longer face it alone."
1881,Going+Home,Danielle Steel,3.69,"In the sun swept beauty of San Francisco, Gillian Forrester is filled with the joy of a love that will surely last. But a painful betrayal forces her to flee to New York and begin a new life. There she discovers an exciting new career and a deep, enveloping passion…only to have her newfound happiness shaken to its core. Now Gillian must choose between her future and her past, and find in the deepest desires of her heart the one way, the only way of Going Home."
1882,The+Ghost,Danielle Steel,4.22,"Catrina and her family are moving to the coast of Northern California because her little sister, Maya, is sick. Cat isn't happy about leaving her friends for Bahía de la Luna, but Maya has cystic fibrosis and will benefit from the cool, salty air that blows in from the sea. As the girls explore their new home, a neighbor lets them in on a secret: There are ghosts in Bahía de la Luna. Maya is determined to meet one, but Cat wants nothing to do with them. As the time of year when ghosts reunite with their loved ones approaches, Cat must figure out how to put aside her fears for her sister's sake - and her own."
1883,Alone+in+Paris,Barbara Cartland,3.46,"Breathe, Taylor.Taylor Clay's family isn't exactly perfect. They may look the part with the nice, big house and her dad's fancy job, but that's what's tearing them apart. That, and her dad's sudden recurring drinking problem.Though her family is close to falling apart, she never wished for something like this to happen. She never wished for her father to drive off a bridge. Especially not while they were on vacation; especially not when her and her mom were in the car with him at the time.Breathe.She's devastated after the fact. And it isn't helping that the papers are gossiping about how the pristine lawyer could have driven off the bridge on purpose. And just when she thinks nothing could possibly make things worse, she realizes she's left alone with no relatives to care for her.So she's alone. Her parents are dead. And she's stuck in the country her family was visiting for their vacation. She's alone in Paris.Just breathe.Then Nathan walks into the picture. Funny, snarky, persistent, and sometimes, just flat out rude, he annoys Taylor to no end. He won't leave her alone, but Taylor doesn't know whether or not she should push him away."
1884,Who+Can+Dany+Love,Barbara Cartland,3.23,"The Prince of Wales buys for Carlton House an exquisitely painted 15th century picture of ""The Virgin of the Lilies"" by Stefan Lochner. Both he and his close friend the Marquis of Fane are entranced by it. They are, however, stunned when the dealer brings them a picture by Van Dyke painted a hundred and fifty years later, and the Madonna in it has the same beautiful face as the Lochner. How the Marquis is determined to track down the forger. How he discovers Cyrilla and how their love for each other brings them both misery and frustration until eventually they find happiness."
1885,The+Disgraceful+Duke,Barbara Cartland,3.52,"Shimona was face to face with the notorious Duke. She had imagined an older man with slanting eyes, arched eyebrows, a long thin nose and pointed ears.But as she looked across the room she saw not the devil she had anticipated, but a surprisingly young, extremely good-looking man.He looked at her with an expression that made her body tremble and her heart pound wildly.Appalled by her own ecstasy, she blushed and turned from the Duke's penetrating gaze."
1886,Magic+or+Mirage,Barbara Cartland,3.45,"MAGIC OR MIRAGEDevina looked out of the window, very conscious that Gordon Thorpe's eyes were on her face.""You are lovely in a way I did not realise when I first saw you,"" he ssaid quietly. ""I find myself looking at your spirit shining through your skin like a light!""""Please...you are taking advantage of our being...alone.""""And why not take advantage of an opportunity that will never happen again?""""Because it is wrong.""""Wrong?"" he enquired fiercely. ""Because you are a woman who is worth millions and that is suppose to put you out of reach of ordinary mortals like myself?""Devina drew her breath. He liked her because he believed she had money. But would he feel the same if he knew the truth?Suddenly Gordon Thorpe bent towards her.""Suppose,"" he said passionately, ""suppose I asked you to come away with me, to forget that we are expected at the Castle, to forget the Duke is waiting for you--would you come?'"
1887,Wait+till+Your+Vampire+Gets+Home,Michele Bardsley,4.14,"Undead fathers really do know best... To prove her journalistic chops, Libby Monroe ends up in Broken Heart, Oklahoma, chasing down bizarre rumors of strange goings-on -- and finding vampires, lycanthropes, and zombies. She never expects to fall in lust with one of them, but vampire/single dad Ralph Genessa is too irresistible. Only the town is being torn in two by a war between the undead -- and Libby may be the only thing that can hold Broken Heart together"
1888,Because+Your+Vampire+Said+So,Michele Bardsley,4.08,"Not just anyone can visit Broken Heart, Oklahoma, especially since all the single moms—like me, Patsy Donahue—have been turned into vampires. I’m forever forty, but looking younger than my years, thanks to my new (un)lifestyle. And even thought most of my customers have skipped town, I still manage to keep my hair salon up and running because of the lycanthropes prowling around. They know how important good grooming is—especially a certain rogue shape-shifter who is as sexy as he is deadly. Now, if only I could put a leash on my wild teenage son. He’s up to his neck in danger. The stress would kill me if I wasn’t already dead. But my maternal instincts are sill alive and kicking, so no one better mess with my flesh and blood."
1889,Don't+Talk+Back+to+Your+Vampire,Michele Bardsley,4.09,"being a mother is never easy-especially when you're undead. Eva LeRoy, Broken Heart, Oklahoma's librarian, got ""vampified"" when everyone else did: during a rogue vampire's feeding frenzy. But books still make her undead heart beat-and, strangely enough, so does Lorcan the Loner, the vampire who killed her..."
1890,"I'm+the+Vampire,+That's+Why",Michele Bardsley,3.87,"Broken Heart is the city with the highest rate of divorce and highest percentage of single parents in Oklahoma. And I, Jessica Matthews, have been a member of that club ever since my husband dumped me for his twentysomething secretary and then had the gall to die in a car accident. Now I’m not just a single mother trying to make ends meet in this crazy world....I’m also a vampire. One minute I was taking out the garbage; the next I awoke sucking on the thigh of superhot vampire Patrick O’Halloran, who’d generously offered his femoral artery to save me.But though my stretch marks have disappeared and my vision has improved, I can’t rest until the thing that did this to me is caught. My kids’ future is at stake…figuratively and literally. As is my sex life. Although I wouldn’t mind finding myself attached to Patrick’s juicy thigh again, I learned that once a vampire does the dirty deed, it hitches her to the object of her affection for at least one hundred years. I just don’t know if I’m ready for that kind of commitment...."
